question,answer
fancy . you 'd match at my ballet dances .,"['nachos', 'are', 'my', 'i', 'i', 'and', 'in', 'all', '.', '.']"
you are lucky ! my only parent is my mother and she taught sunday school .,"['regular', 'rules', 'makes', 'i', 'is', 'is', 'is', 'all', 'or', 'or']"
can you get me a discount ? do you have siblings ? i do n't .,"['the', 'rules', 'i', 'i', 'volley', 'i', 'in', 'in', 'or', 'all']"
nice . i do not have any pets . i want a dog though .,"[""i'ven"", 'i', 'my', 'i', 'i', 'i', 'in', '.', '.', '.']"
i think i 'll . what breed do you suggest ?,"['i', 'don', 'i', 'for', 'comes', 'for', 'a', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
howdy i was born and raised in alabama,"['my', ',', 'i', 'i', 'i', 'is', 'in', 'in', '.', '.']"
cool beans my mom a checker at the grocery store,"['and', 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
i do not like sweet home alabama though,"['i', 'work', 'for', 'in', 'and', 'and', 'a', 'a', '.', '.']"
i really like the game of thrones,"['i', 'read', 'during', 'for', 'in', 'for', 'a', '.', '.', '.']"
i saw the easter bunny behind my closet door,"['i', 'worry', 'like', 'to', 'comes', 'and', 'for', 'private', '.', '.']"
oh no i 'm only 16,"['although', ',', 'i', 'is', 'i', 'is', 'me', '.', '.', '.']"
you are so old though,"['although', ',', 'i', 'is', 'volley', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i 'm doing well ! just hanging out with my dog .,"['i', 'once', 'makes', 'are', 'comes', 'and', 'for', 'rise', 'for', 'all']"
"his name is toto , like from the wizard of oz .","['regular', 'rules', 'makes', 'i', 'is', 'is', 'is', 'in', 'for', 'all']"
i like to take toto to dog parks sometimes . otherwise i like to bike . you ?,"['i', 'like', 'sometimes', 'in', 'in', 'is', 'for', 'a', 'for', '.']"
"ha ! i never thought of it like that . i mean , i guess i like rocks !","['regular', 'is', 'makes', 'i', 'i', 'and', 'is', 'all', 'hot', '.']"
that is really cool . when did you know this is what you wanted to do ?,"[""i'ven"", 'after', 'makes', 'i', 'i', 'is', 'in', '.', '.', '.']"
do you two live together ?,"['although', 'is', 'makes', 'i', 'volley', 'volley', '.', '.', '.', '.']"
"so sweet . i am staying with my grandma right now , she 's from denmark","['when', ',', ',', 'i', 'i', 'in', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hey tell me about yourself . i adore dogs cats animals of all kinds,"['grandma', 'in', 'makes', 'is', 'is', '.', '.', '.', '.', '.']"
oh i do not work . mostly i find petitions to sign or walk dogs for free,"['someday', ',', 'i', 'i', 'i', 'is', 'me', '.', '.', '.']"
yea but i need money to donate to animal groups .,"['until', 'of', 'my', 'i', 'i', 'is', 'is', 'in', 'in', '.']"
since i went vegan that is basically a lifelong donation right,"['one', ',', 'my', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
wow i think your mither and i 'd get along,"['its', 'married', 'makes', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
is she single ? maybe she could go full vegan,"['someday', ',', 'i', 'i', 'comes', 'is', 'in', 'in', 'in', 'all']"
maybe we could be vegan together,"['my', ',', 'i', 'i', 'and', 'is', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i 'm good . how are you ?,"['i', 'sleep', 'about', 'for', 'in', 'for', 'every', '.', '.', '.']"
that sounds like fun . i like to run as hobby . where do you like to ride ?,"[""i'ven"", 'scare', 'my', 'is', '.', '.', '.', '.', 'last', '.']"
i am with you on that . i am looking for a second job . what do you do ?,"['i', 'live', 'released', 'in', 'in', 'volley', 'for', 'a', 'hot', '.']"
"i am working as a grill cook , but i 'd like to have my own restaurant some day .","['i', 'am', 'recently', 'in', 'in', 'and', 'for', 'a', 'for', 'or']"
i like to go to concerts . i 'm a big fan of pink floyd . what about you ?,"['i', 'like', 'to', 'are', 'has', 'volley', 'for', 'a', 'in', 'all']"
that sounds interesting . i do n't know a lot about reduit . what does that involve ?,"[""i'ven"", 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"bonjour , i 'm very well , how are you ? have you had your supper yet ?","['regular', ',', 'i', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
that sounds tasty . i had my favorite dish . pasta with red sauce .,"['someday', 'scare', 'my', 'i', 'i', 'is', 'me', '.', '.', '.']"
i am irish . i hope to travel more now that my spouse and i have retired .,"['i', 'am', 'compromised', 'in', 'in', 'for', 'and', 'every', '.', '.']"
"i get lonely too , volunteering with the local park service helps .","['i', 'look', 'deeply', 'for', 'comes', 'for', 'for', 'a', 'for', 'all']"
i am a retired bookkeeper . i volunteer now as a docent at a local history museum .,"['i', 'am', 'in', 'in', 'in', 'local', 'for', 'a', 'or', 'or']"
i live in the applachain mountains . my husband brought me here many years ago .,"['i', 'live', 'in', 'with', 'in', 'a', '.', '.', '.', '.']"
what time of year were you there ? the mountains are particularly lovely in autumn,"['until', 'cleats', 'my', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
did you enjoy the weather ? i suppose japan is not quite as hot as carolina in summer .,"['until', 'cleats', 'i', 'i', 'volley', 'is', 'in', 'in', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i am pretty good . leading a loveless life as usual . and you ?,"['i', 'live', 'sometimes', 'for', 'can', 'and', 'for', 'in', 'every', '.']"
that 's nice . i might die a hermit . . .,"['until', 'scare', 'i', 'i', 'i', 'is', 'in', '.', '.', '.']"
i do not . i do not even speak the 5 love languages,"['i', 'do', 'in', 'in', '.', '.', '.', '.', '.', '.']"
that 's an attractive quality .,"['someday', 'scare', 'makes', 'are', '.', '.', '.', '.', '.', '.']"
you could try accounting if you like numbers and robots,"['regular', 'makes', 'is', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
"you can be an english teacher overseas , especially if know asian languages","['regular', 'in', 'makes', 'are', 'is', 'is', 'is', 'in', 'or', 'or']"
i hope your love of languages and love of spouse makes you happy,"['i', 'don', 'i', 'to', 'comes', 'volley', 'for', 'touches', 'a', 'for']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
yes . i use to crush on the doctors when i was a nurse .,"[""i'ven"", 'likes', 'my', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
tell them some of the food you like to cook . i make bagels .,"['since', 'rules', 'i', 'i', 'i', 'is', 'in', 'in', 'or', '.']"
yes but i am used to getting up early to paint the outdoors .,"['until', 'after', 'my', 'i', 'i', 'is', 'is', 'in', 'or', 'all']"
are you familiar with map making ?,"['regular', 'is', 'i', 'i', 'i', 'is', 'is', '.', '.', '.']"
i went to cartographer school and i am now a cartographer .,"['i', 'went', 'in', 'for', 'comes', 'and', 'for', 'in', 'for', '.']"
they use to call me tony hawk when i was growing up .,"['until', 'cleats', 'i', 'i', 'is', 'is', 'is', 'in', 'in', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"i am doing great , just working on my new book ! how about you ?","['i', 'live', 'like', 'in', 'are', 'and', 'for', 'a', 'and', 'or']"
"yes , i work as a professional author . why are you only doing ok ?","['until', 'cleats', 'i', 'i', 'i', 'i', 'in', 'all', '.', '.']"
i had braces ! that was when i found my love of green tea .,"['i', 'didn', 'i', 'for', 'comes', 'for', 'for', 'a', 'a', 'for']"
i 'm from the countryside . how about you ?,"['i', 'help', 'about', 'for', 'comes', 'and', 'every', '.', '.', '.']"
i used to go for long runs on the beach there to clear my head .,"['i', 'used', 'in', 'i', 'comes', 'is', 'in', 'in', 'is', 'all']"
do you have a pool ?,"['under', 'scare', 'makes', 'i', 'volley', 'volley', '.', '.', '.', '.']"
sometimes . i mostly like to just sit on my grass and work on my books .,"['sometimes', ',', 'i', 'i', 'i', 'is', 'in', 'in', 'or', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
good just working on homework trying to get a teaching degree,"['regular', 'in', 'makes', 'i', 'i', 'is', 'is', 'in', 'in', 'all']"
what do you do for a living ?,"['regular', 'makes', ',', 'i', 'i', 'is', 'is', 'all', '.', '.']"
sounds fun ! i like playing sports and being outdoors .,"['helping', 'makes', 'makes', 'are', 'is', 'and', 'is', 'all', '.', '.']"
"i used to , but i have been in a couple car crashes .","['i', 'used', 'in', 'i', 'comes', 'is', 'in', 'in', 'for', 'all']"
i do n't . do you ? what are your hobbies ?,"['i', 'do', 'in', 'in', 'and', 'evenings', '.', '.', '.', '.']"
lol i enjoy crafting and painting .,"['it', ',', 'i', 'i', 'i', 'is', '.', '.', '.', '.']"
i like painting pictures of animals .,"['i', 'like', 'cannibals', 'in', 'is', 'z', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
really mellow . just drank the best beer from china ! who knew ?,"['people', 'rules', 'makes', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
"not my thing , but to each his own . i 'm more of a classic kind of guy .","['its', 'rules', 'i', 'i', 'i', 'i', 'in', 'all', '.', '.']"
"after a long day in the garage , a thick steak hits the spot .","['until', 'my', 'i', 'i', 'is', 'is', 'in', 'in', 'or', 'or']"
i 'm indebted to all the nurses who stitched me up in the emergency room .,"['i', 'once', 'makes', 'is', 'comes', 'and', 'for', 'rise', 'for', 'for']"
i like a nice game of darts in the pub after a long day of work .,"['i', 'like', 'paste', 'in', 'are', 'volley', 'for', 'in', 'and', 'or']"
that is also be fine relax . or a night of poker .,"[""i'ven"", 'after', 'i', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"chocolate anything the sugar keeps up to work in the lab , you ?","['going', 'is', 'makes', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
yes i stay up late so i sleep til 11 or 12 . no candy ?,"['someday', ',', 'i', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
"oh , my two male siblings like to watch anime .","['until', ',', 'i', 'i', 'is', 'is', 'in', 'in', 'in', '.']"
no i love romance . i believe in falling in love seeing someone for the first time .,"['although', ',', 'is', 'is', '.', '.', '.', '.', 'here', '.']"
"no idea who that 's , maybe my siblings do .","['regular', 'in', 'makes', 'is', 'is', 'is', 'in', 'in', 'every', '.']"
i like to eat skittles but never watched them .,"['i', 'like', 'sometimes', 'for', 'are', 'volley', 'for', 'a', '.', '.']"
what does that even entail doing ?,"['although', 'makes', 'i', 'is', 'is', 'is', 'me', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
no . i also do n't get on well with my family .,"['i', ',', 'i', 'i', 'comes', 'volley', 'in', 'in', 'or', 'all']"
no . i spend more time climbing . it is a good workout .,"['although', ',', 'i', 'i', 'comes', 'volley', 'me', '.', '.', '.']"
i 've a few . they support me a lot .,"['i', 'drink', 'are', 'for', 'that', 'and', 'every', 'every', '.', '.']"
no . i wish i did have one or two .,"['although', ',', 'i', 'i', 'comes', 'is', 'in', 'in', 'in', '.']"
i 've a dog named bella and a cat named sookie .,"['i', 'drink', 'when', 'for', 'for', 'and', 'for', 'every', 'for', 'all']"
you have a cat and dog too . is that what you mean ?,"['it', 'makes', 'is', 'are', 'i', 'is', 'is', 'all', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hi . do you recycle too ?,"['my', 'scare', 'my', 'i', 'i', 'is', 'me', '.', '.', '.']"
cool . are you busy most of the time ?,"['my', 'scare', 'my', 'i', 'is', 'is', 'in', 'in', 'or', 'all']"
i can pick up your recycling with my big van .,"['i', 'can', 'too', 'for', 'comes', 'for', 'for', 'a', '.', '.']"
does he not like red heads with curly hair ?,"['someday', 'makes', 'my', 'i', 'i', 'and', 'in', 'in', 'or', 'all']"
no worries . i love dogs . i love everyone . peace !,"['regular', 'is', 'is', 'is', '.', '.', '.', '.', '.', '.']"
yes . i 've two dancers tattooed on my ankle .,"[""i'ven"", 'likes', 'my', 'i', 'i', 'i', 'in', 'in', 'or', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hi chris . i 'm beth . what do you do for fun ?,"['until', 'gaga', 'i', 'i', 'is', 'volley', '.', '.', '.', '.']"
i kinda like football . i love having people over for dinner so i can cook for them .,"['i', 'sleep', 'in', 'in', 'every', '.', '.', '.', '.', '.']"
"wow ! i bet . since my mom has been staying with me , i do not watch tv much .","['its', 'rules', 'makes', 'is', 'is', 'every', '.', '.', '.', '.']"
you really must miss her . do you have any pets ?,"['regular', ',', 'i', 'i', 'is', 'is', 'me', '.', '.', '.']"
i 've an exotic pet . his name is ragini . a lizard .,"['i', 'notice', 'are', 'for', 'i', 'and', 'every', '.', '.', '.']"
the lizard is just two . then i also have a 10 year old dog named roscoe .,"['the', 'rules', 'i', 'i', 'i', 'and', 'is', 'canada', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"hello , what do you do for work ?","['regular', 'is', 'my', 'i', 'is', 'is', 'is', 'in', 'in', '.']"
"i 'm on my way to work , i do roofing for a living","['i', 'help', 'about', 'for', 'i', 'volley', 'for', 'a', 'for', 'for']"
its long hot days so when i am done i usually have a cold beer afterwards,"['we', 'takes', 'me', 'i', 'is', 'and', 'in', 'in', 'or', 'all']"
i like mud bogging in my chevy truck it has a 3 inch lift on it,"['i', 'like', 'playing', 'in', 'are', 'volley', 'and', 'in', 'and', 'or']"
"no family , just graduated high school , i was a good football player","['regular', 'a', 'makes', 'is', 'is', 'is', 'is', 'in', 'or', 'or']"
so what do you sell on your travels ?,"['i', ',', 'i', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
going good so far . . how about you,"['watching', 'in', 'is', '.', '.', '.', '.', '.', '.', '.']"
what food you like ? ? spicy or mild ?,"['regular', 'scare', ',', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
where you are from ? any good food in ur place to try must ?,"['until', 'cleats', 'i', 'i', 'is', 'is', 'is', 'in', 'in', 'or']"
lol . . . i love the bbq brisket in austin,"['it', 'likes', 'makes', '.', '.', '.', '.', '.', '.', '.']"
you should . . threats the must try in austin,"['regular', 'is', 'is', 'is', 'volley', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i did not understand the question .,"['i', 'don', 'fell', 'i', 'every', '.', '.', '.', '.', '.']"
sure . it ca n't be weirder than me listening to pink while painting .,"['in', 'likes', 'makes', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
i drive a station wagon to work in the morning . takes a hour .,"['i', 'drive', 'in', 'in', 'a', 'local', 'for', 'a', 'lumineers', '.']"
"well , if my mug of coffee is full it is all good .","['its', 'after', 'i', 'i', 'volley', 'is', 'in', 'in', 'or', 'or']"
my wife does crochet . she makes killer pasta too .,"['my', 'died', 'often', 'are', 'often', '.', '.', '.', '.', '.']"
where are you ? we are in florida .,"['until', 's', 'i', 'i', 'i', 'is', 'in', '.', '.', '.']"
georgia is great this time of year .,"['my', 'jokes', 'i', 'i', 'is', 'is', 'is', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i am good thank you for asking . sipping some tea now,"['i', 'live', 'released', 'in', 'can', 'and', 'and', 'every', '.', '.']"
"cool . what do you do in your free time ? i write , usually short stories .","['my', 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
cool ! i used to work in a store that sold a lot of books,"['someday', 'cleats', 'my', 'i', 'i', 'i', 'in', 'in', 'or', 'or']"
that sounds fun ! i also enjoy art museums .,"[""i'ven"", 'scare', 'i', 'i', 'i', 'i', 'in', 'in', '.', '.']"
i would love to visit one day !,"['i', 'could', 'i', 'i', 'comes', 'volley', 'for', '.', '.', '.']"
i should move there maybe i could become a publisher .,"['i', 'don', 'fell', 'to', 'for', 'volley', 'for', 'a', '.', '.']"
wow i hope to become one some day .,"['its', 'after', 'i', 'i', 'i', 'i', 'in', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"my hobbies are working with acrylics , i 'm fine","['my', 'after', 'are', 'are', 'just', 'is', 'is', 'in', 'or', 'or']"
"i am in school for art , i really want paint murals for a living","['i', 'live', 'in', 'in', 'in', 'and', 'and', 'a', 'or', 'or']"
so i guess i could say my favorite subject is class painting,"['my', ',', 'and', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
"what do you look like , i 've blue eyes and blonde hair","['penn', 'rules', ',', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
how old are you ? i am 45,"['although', 'and', 'makes', 'is', 'is', 'is', 'in', 'all', '.', '.']"
i really like sushi and tacos are really tasty,"['i', 'do', 'too', 'for', 'a', 'and', 'for', 'a', '.', '.']"
i am going to italy soon to visit some art galleries,"['i', 'am', 'recently', 'in', 'are', 'and', 'for', 'a', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hello . doing well thank you . just got done walking my 3 dogs .,"['winter', 'makes', 'my', 'i', 'i', 'in', '.', '.', '.', '.']"
and also 2 kids . a full house i 've here .,"['my', 'scare', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"yes it is . husband is working constantly . he 's a lawyer , not much time with him .","['ocd', 'makes', 'makes', 'is', 'is', '.', '.', '.', '.', '.']"
yes . what do you do for a living ?,"['someday', 'makes', 'my', 'i', 'i', 'and', 'in', 'in', 'or', 'all']"
oh wow ! that 's awesome . not very good with numbers .,"['until', 'cleats', 'i', 'i', 'is', 'is', 'me', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hi i can not have any hazel nuts .,"['someday', ',', 'has', 'i', 'i', 'is', 'is', 'all', '.', '.']"
i 'm allergic to hazel nuts i can eat peanuts .,"['i', 'once', 'makes', 'is', 'comes', 'and', 'for', 'rise', 'for', 'fair']"
i like observing crime books how about you ?,"['i', 'like', 'playing', 'in', 'are', 'volley', 'for', 'every', 'and', '.']"
you are so funny i like chatting with you tell me more .,"['regular', 'in', 'makes', 'is', 'is', 'is', 'is', 'in', 'for', 'or']"
i was born with only three toes on my . foot,"['i', 'was', 'in', 'in', 'and', 'and', 'and', 'football', '.', '.']"
me either they smell i am employed as a pet keeper .,"['regular', 'gaga', ',', 'i', 'i', 'is', 'is', 'all', 'or', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i like it as well .,"['i', 'like', 'paste', 'in', 'volley', '.', '.', '.', '.', '.']"
i do that with my kids as well . i 'm also teaching them to be thrifty .,"['i', 'do', 'for', 'to', 'and', 'and', 'a', '.', '.', '.']"
i coupon to relieve stress . it feels good to save lots of money .,"['i', 'draw', 'like', 'for', 'comes', 'for', 'for', 'a', 'every', '.']"
it is so important with the economy so uncertain .,"['helping', 'is', 'makes', 'i', 'is', 'is', 'is', 'all', '.', '.']"
i coupon every week and donate what i get to charity if i 've extra .,"['i', 'drink', 'all', 'for', 'for', 'and', 'for', 'every', 'for', 'or']"
it is possible to get many items cheap or even free if you are careful .,"['helping', 'snorkeling', 'makes', 'i', 'i', 'is', 'is', 'all', 'or', 'or']"
i learned to do this in a class at the local community center .,"['i', 'd', 'i', 'i', 'comes', 'volley', 'for', 'a', 'for', 'for']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"working all day , my feet hurt and smell , but money is my favorite thing i love it","['until', 'of', 'i', 'i', 'is', 'is', 'is', 'in', 'in', 'or']"
"i am a model , i 've this bright brown eyes that people just love , you ?","['i', 'am', 'in', 'with', 'in', 'and', 'for', 'a', 'or', 'or']"
oh really ? my mom was a weightlifter,"['someday', ',', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"wow , my mom never made it that far , i guess you can lift a lot","['its', 'after', 'i', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
"oh wow , that is strong","['my', ',', 'makes', 'i', 'i', 'is', '.', '.', '.', '.']"
"new york city , that 's where my modeling agency is","['people', 'in', ',', 'i', 'i', 'and', 'for', 'in', 'or', 'all']"
"wow , all the way across the world , your english is really good","['its', 'rules', 'i', 'i', 'volley', 'is', 'in', 'in', 'or', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hello i am great how are you,"['although', ',', 'i', 'i', 'comes', 'is', 'in', '.', '.', '.']"
how can you play football and type,"['regular', 'is', 'is', 'are', 'is', 'is', 'is', '.', '.', '.']"
who you playing with i play with my friends they do not use my real name though,"['regular', 'of', 'i', 'i', 'is', 'is', 'is', 'in', 'in', 'all']"
i like festivals i go just for the meat,"['i', 'like', 'playing', 'in', 'are', 'and', 'for', 'in', 'and', '.']"
i like the music too my favorite is the story so far,"['i', 'like', 'to', 'in', 'are', 'for', 'for', 'in', 'for', 'for']"
lets them hear you roar,"['although', ',', 'i', 'is', '.', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i do not think i 'm .,"['i', 'do', 'for', 'in', 'and', 'and', 'free', '.', '.', '.']"
i spend a lot of time learning new languages . i speak six .,"['i', 'married', 'in', 'for', 'volley', 'volley', 'for', '.', '.', '.']"
i just started learning irish gaelic .,"['i', 'make', 'in', 'in', 'a', 'z', '.', '.', '.', '.']"
that is one of the ones i speak well .,"['someday', ',', ',', 'i', 'i', 'and', 'in', 'all', '.', '.']"
i do not speak that . not sure i will learn .,"['i', 'do', 'for', 'when', 'and', 'and', 'a', 'a', '.', '.']"
it does help to know someone who speaks it .,"['the', 'rules', ',', 'i', 'i', 'and', 'for', 'all', '.', '.']"
well maybe he just had an aptitude for it .,"['its', 'after', 'i', 'i', 'volley', 'i', 'for', 'all', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i 'm good just playing a game of pool with my friend,"['i', 'drink', 'when', 'for', 'comes', 'and', 'for', 'a', 'for', 'all']"
no i do n't it would get in the way when i 'm working on cars,"['although', ',', 'i', 'i', 'comes', 'is', 'in', 'in', 'or', 'or']"
no my job would not let me have tattoos,"['regular', 'is', 'i', 'is', 'is', 'is', 'is', 'in', 'in', '.']"
that sounds nice how many tattoos do you have ?,"[""i'ven"", 'scare', 'my', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
cool are you in school ?,"['someday', 'scare', 'i', 'i', 'i', 'is', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
hi carl . i am listening to the beatles which is my favorite band . and you ?,"['until', 'cleats', 'i', 'i', 'i', 'is', 'in', '.', '.', '.']"
she love you . what are you reading ?,"['i', 'live', 'in', 'daily', '.', '.', '.', 'oakville', '.', '.']"
sounds interesting . do you live with your parents ?,"['it', 'chip', 'makes', 'are', 'i', 'is', 'is', '.', '.', '.']"
i 've a studio apartment and work as a paramedic .,"['i', 'notice', 'are', 'for', 'volley', 'and', 'for', 'for', 'for', 'fair']"
i 'm actually going to school as i want to be a nurse .,"['i', 'd', 'in', 'for', 'comes', 'volley', 'for', 'rise', 'for', 'for']"
what position do you play ?,"['although', ',', 'i', 'is', 'is', 'me', '.', '.', '.', '.']"
"i love ragtime . all three of my sisters like it , too .","['i', 'live', 'to', 'in', 'are', 'and', 'and', 'a', 'and', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
"well thank you , just planning my trip to paris . how are you ?","['its', 'rules', ',', 'i', 'i', 'and', 'in', 'in', 'or', '.']"
teaching must be more exciting than the pharmaceutical industry though,"['grandma', 'makes', 'makes', 'is', 'is', 'is', 'in', 'in', 'is', 'all']"
my one sister teaches middle school in san francisco but her class is roughly 10 students .,"['my', 'found', 'makes', 'are', 'i', 'and', 'and', 'in', 'or', 'or']"
you must have to be very organized to keep track of everyone then right ?,"['welding', 'is', 'is', 'is', 'is', 'is', 'is', 'in', 'is', 'or']"
what do you enjoy doing in your free time ?,"['black', 'makes', ',', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"i love travelling and strangely enough , visiting home with my family .","['i', 'love', 'iced', 'and', 'and', 'and', 'for', 'a', 'and', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
_ _ SILENCE _ _,"['my', ',', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
i am doing well . just doing some studying .,"['i', 'am', 'compromised', 'in', 'is', 'volley', '.', '.', '.', '.']"
i 'm studying to be a chartered financial analyst . i do editing on the side . do you work ?,"['i', 'blame', 'makes', 'is', 'comes', 'and', 'for', 'in', 'hot', '.']"
i 've dog . he 's so cute !,"['i', 'sleep', 'about', 'for', 'for', 'show', '.', '.', '.', '.']"
aw . what kind of dog is she ? just wondering .,"['nachos', 'go', 'my', 'i', 'and', 'and', 'and', 'and', 'or', 'all']"
what a knuckle head ! bulldogs are funny . at least in youtube videos .,"['until', 'a', 'makes', 'i', 'is', 'is', 'me', '.', '.', '.']"
